date,population shift,confirm_adds,confirm
2022/03/11,0,27,4747
2022/03/12,0,14,4761
2022/03/13,0,57,4818
2022/03/14,0,21,4839
2022/03/15,0,15,4854
2022/03/16,0,23,4877
2022/03/17,0,67,4944
2022/03/18,0,20,4964
2022/03/19,0,22,4986
2022/03/20,0,41,5027
2022/03/21,0,39,5066
2022/03/22,0,14,5080
2022/03/23,0,14,5094
2022/03/24,0,41,5135
2022/03/25,0,47,5182
2022/03/26,0,51,5233
2022/03/27,0,60,5293
2022/03/28,0,107,5400
2022/03/29,0,329,5729
2022/03/30,0,358,6087
2022/03/31,0,365,6452
2022/04/01,0,262,6714
2022/04/02,0,444,7158
2022/04/03,0,433,7591
2022/04/04,0,271,7862
2022/04/05,0,315,8177
2022/04/06,0,329,8506
2022/04/07,0,828,9334
2022/04/08,0,1017,10351
2022/04/09,0,1017,10351
2022/04/10,0,917,12283
2022/04/11,0,917,12283
2022/04/12,0,1190,14471
2022/04/13,0,2573,17044
2022/04/14,0,3200,20244
2022/04/15,0,3594,23838
2022/04/16,0,3240,27078
2022/04/17,0,2417,29498
2022/04/18,0,3084,32582
2022/04/19,0,2495,35077
2022/04/20,0,2635,37712
2022/04/21,0,1931,39643
2022/04/22,0,2736,42379
2022/04/23,0,1401,43780
2022/04/24,0,2472,46252
2022/04/25,0,1661,47913
2022/04/26,0,1606,49519
2022/04/27,0,1292,50811
2022/04/28,0,1292,50811
2022/04/29,0,1250,57550
2022/04/30,0,788,58339
2022/05/01,0,729,59068
2022/05/02,0,274,59343
2022/05/03,0,263,59605
2022/05/04,0,263,59868
2022/05/05,0,245,60113
2022/05/06,0,253,60366
2022/05/07,0,217,60583
2022/05/08,0,324,60907
2022/05/09,0,234,61141
2022/05/10,0,229,61370
2022/05/11,0,144,61514
2022/05/12,0,227,61741
2022/05/13,0,195,61936
2022/05/14,0,168,62104
2022/05/15,0,70,62174
2022/05/16,0,77,62251
2022/05/17,0,97,62348
2022/05/18,0,83,62431
2022/05/19,0,90,62521
2022/05/20,0,84,62605
2022/05/21,0,53,62658
2022/05/22,0,56,62714
2022/05/23,0,58,62772
2022/05/24,0,44,62816
2022/05/25,0,49,62865
2022/05/26,0,46,62911
2022/05/27,0,39,62950
2022/05/28,0,32,62982
2022/05/29,0,6,62988
2022/05/30,0,13,63001
2022/05/31,0,6,63007
2022/06/01,0,9,63016
2022/06/02,0,10,63026
2022/06/03,0,7,63033
2022/06/04,0,7,63040
2022/06/05,0,4,63044
2022/06/06,0,6,63050
2022/06/07,0,12,63062
2022/06/08,0,4,63066
2022/06/09,0,8,63074
2022/06/10,0,11,63085
2022/06/11,0,11,63096
2022/06/12,0,13,63109
2022/06/13,0,5,63114
2022/06/14,0,18,63132
2022/06/15,0,13,63145
2022/06/16,0,5,63150
2022/06/17,0,3,63153
2022/06/18,0,9,63162
2022/06/19,0,15,63177
2022/06/20,0,15,63192
2022/06/21,0,4,63196
2022/06/22,0,18,63214
2022/06/23,0,5,63219
2022/06/24,0,5,63224
2022/06/25,0,4,63228
2022/06/26,0,8,63236
2022/06/27,0,3,63239
2022/06/28,0,1,63240
2022/06/29,0,10,63250
2022/06/30,0,4,63254
2022/07/01,0,3,63257
2022/07/02,0,7,63264
2022/07/03,0,9,63273
2022/07/04,0,7,63280
2022/07/05,0,15,63295
